Date,Time,Open,High,Low,Close,Volume
2012.12.10,0:00,1.29054,1.29454,1.28847,1.29358,122544
2012.12.11,0:00,1.29358,1.30137,1.29277,1.30104,129839
2013.05.13,0:00,1.29671,1.29991,1.29412,1.2974,91070
2013.05.14,0:00,1.29739,1.30284,1.29126,1.29193,107088
2013.05.15,0:00,1.29193,1.2942,1.28426,1.28856,107609
2013.05.16,0:00,1.28856,1.29292,1.28458,1.28827,99719
2013.05.17,0:00,1.28827,1.28892,1.27959,1.28369,95219
2013.05.20,0:00,1.28406,1.29003,1.28187,1.28814,78277
2013.05.21,0:00,1.28813,1.2933,1.28407,1.29051,96925
2013.05.22,0:00,1.29051,1.29975,1.2833,1.28576,124785
2013.05.23,0:00,1.28576,1.29562,1.28208,1.29324,137643
2013.05.24,0:00,1.29322,1.29928,1.29038,1.29307,107915
2013.05.27,0:00,1.29312,1.2948,1.29146,1.29278,45137
2013.05.28,0:00,1.29279,1.29491,1.28489,1.28546,95582
2013.05.29,0:00,1.28543,1.2977,1.28373,1.29406,108687
2013.05.30,0:00,1.29405,1.30612,1.29326,1.30491,111524
2013.05.31,0:00,1.30491,1.30589,1.29437,1.29945,110410
2013.06.03,0:00,1.29921,1.3107,1.2955,1.30755,99475
2013.06.04,0:00,1.30756,1.3101,1.30417,1.30801,93807
2013.06.05,0:00,1.30798,1.31155,1.30526,1.30922,107411
2013.06.06,0:00,1.30923,1.33053,1.30745,1.32455,127475
2013.06.07,0:00,1.32454,1.3285,1.31911,1.32174,132917
2013.06.10,0:00,1.31883,1.32685,1.3177,1.32563,94815
2013.06.11,0:00,1.32564,1.3317,1.32315,1.33125,124613
2013.06.12,0:00,1.33126,1.33586,1.32652,1.33357,106504
2013.06.13,0:00,1.33355,1.33895,1.32781,1.33751,123320
2013.06.14,0:00,1.33752,1.33752,1.32943,1.33454,95952
2013.06.17,0:00,1.33464,1.3381,1.3318,1.33658,70536
2013.06.18,0:00,1.33657,1.34153,1.33252,1.3391,90846
2013.06.19,0:00,1.3391,1.34152,1.32616,1.32931,92882
2013.06.20,0:00,1.32931,1.33011,1.31608,1.3219,141363
2013.06.21,0:00,1.32198,1.32536,1.30982,1.31185,112647
2013.06.24,0:00,1.30894,1.31434,1.30587,1.31189,112942
2013.06.25,0:00,1.3119,1.31505,1.30646,1.30762,109024
2013.06.26,0:00,1.30777,1.30865,1.29843,1.30111,103038
2013.06.27,0:00,1.30111,1.30562,1.29997,1.30377,87185
2013.06.28,0:00,1.30374,1.31028,1.29908,1.30074,95470
2013.07.01,0:00,1.30081,1.30662,1.30048,1.30631,72195
2013.07.02,0:00,1.30631,1.30775,1.29631,1.29782,81873
2013.07.03,0:00,1.29782,1.30317,1.29226,1.30097,91630
2013.07.04,0:00,1.30097,1.30226,1.28827,1.29127,78361
2013.07.05,0:00,1.2913,1.29162,1.28056,1.2827,91978
2013.07.08,0:00,1.28094,1.28812,1.28085,1.28699,68881
2013.07.09,0:00,1.287,1.28977,1.27547,1.27803,87680
2013.07.10,0:00,1.27801,1.29831,1.27642,1.29713,101271
2013.07.11,0:00,1.29712,1.32059,1.29621,1.3096,153492
2013.07.12,0:00,1.30961,1.30997,1.29989,1.30664,86754
2013.07.15,0:00,1.30739,1.30785,1.29928,1.30609,71135
2013.07.16,0:00,1.30607,1.31736,1.30496,1.31613,86903
2013.07.17,0:00,1.31613,1.31774,1.30825,1.31238,93696
2013.07.18,0:00,1.31239,1.3127,1.30663,1.31083,74190
2013.07.19,0:00,1.31082,1.31533,1.30887,1.31406,71410
2013.07.22,0:00,1.3135,1.32177,1.31336,1.31843,66364
2013.07.23,0:00,1.31848,1.32379,1.31631,1.32222,68454
2013.07.24,0:00,1.32233,1.32556,1.31762,1.32,84481
2013.07.25,0:00,1.31993,1.32954,1.31652,1.3276,82548
